Ingredient,Category
돈등심 리치밀 감자전분 큐원 맑은식용유 매직파우다 탕수소스 양파편 당근편 자른 적채 불린 목이버섯,Chinese
매직파우다 계란 정제수 대파,Chinese
매직파우다 냉동 중화면 생지 정제수 당근편 양파채 배추편 애호박편 시금치 홍합 쭈꾸미 오징어링 새우홀 큐원 맑은식용유,Chinese
"사천식돈육볶음 어향소스 정제수 가지 물전분 매운베트남고추가루 다진청,홍피망 다진대파,마늘 쪽파 자른것 중립종쌀밥",Chinese
중립종쌀밥 짬뽕파우더 솔방울오징어 해삼 알새우 계란 쪽파 고추기름,Chinese
매직파우더 중화조미료 소금 다진청경채 쪽파 계란 중립종쌀밥 맑은식용유,Chinese
서브큐사천탕면소스 우삼겹슬라이스 숙주 대파채 양배추편 청양고추편 정제수 팽이버섯 절단건사천고추 양파채 소교표고(홀) 냉동중화면생지 맑은식용유,Chinese
사천식돈육볶음 어향소스 정제수 가지 물전분 매운베트남고추가루 다진청·홍피망 다진대파.마늘 쪽파 자른것,Chinese
서브큐사천탕면소스 소교죽순채 소교표고채 팽이버섯/부추 해삼채 유슬 알새우 정제수 물전분 맑은식용유 서송 파기름/참기름,Chinese
유림기용소스 군만두 양배추채 대파채 청양고추채 홍고추채 대파채 흰부분 큐원 맑은식용유,Chinese
서브큐소고기볶음면소스 유림기용 소스 파 채 흰 부분 맑은식용유 정종 우삼겹 샐러리편,Chinese
동치미냉면육수(삼진) 냉동중화면생지 오이채 / 당근채 자숙칵테일새우 무순 해파리채 서브큐겨자냉채소스 즈마장 환만식초,Chinese
장어튀김 소교표고버섯편 소교죽순편 소교초고버섯 큐원맑은식용유 서브큐 흑후추소스 청피망편 홍피망편 냉동브로콜리 사천고추 흰밥 통마늘 튀김 정제수 파기름 중국생강,Chinese
매직파우더 원형쌀면 완탕스프 건새우 CP완탕만두 쪽파 청경채 1/4 참기름 정제수 건두부채,Chinese
탄탄면용탕 면 다진 짜차이 다진 대파 흰부분 데친 청경채 땅콩분태 고추기름,Chinese
서브큐겨자냉채소스 족발채 오이채 당근채 청피망채 홍피망채 노랑파프리카 쌀국수,Chinese
중화양념소고기편 소교죽순편 소교표고편 소교초고버섯 소고기볶음면소스 청피망 홍피망 냉동브로콜리 흰밥 물전분 정제수 큐원맑은식용유 파채흰부분,Chinese
프리미엄중화생면밀가루 면쿡 정제수,Chinese
깐쇼새우 서브큐 중화칠리소스 물전분 고추기름 다진마늘 다진파 다진 청.홍피망 여린잎채소 양상추,Chinese
양파 양배추 돼지삼겹살 생강다진 것 진간장 볶은춘장 물전분(물1:감자전분1) 큐원맑은식용유 짜장소스 부추 청양고추 솔방울오징어 자숙새우살(71~90) 매운고춧가루 고추기름 면 식물성휘핑크림 메시포테이토분말,Chinese
서브큐겨자냉채용소스 해파리채 오이채 당근채 칵테일새우 청피망채 홍피망채 배채 오징어채,Chinese
서브큐짬뽕용소스 프리미엄중화생면 소교죽순편 소교표고편 고추기름 정재수 청경채 부추-5cm절단 청.홍피망-3cm 삼각형절단 양파채 -3mm 채 배추편 - 5cm편절단 오징어 - 칼집낸 뒤 5*1cm절단 중새우 모시조개 쭈꾸미,Chinese
