,title,category
169,돈 빌려주고  우리 분유 써라  남양유업 과징금    억,Social
170,롯데정밀화학  요소  만    t 확보    국내 차량용 요소수    개월분 ,Social
171,롯데정밀화학 가동중단 피했다   차량용 요소수    개월분 확보,Social
172,롯데  차량용 요소  만 천t 신규 확보 요소수 석달치 물량,Social
173,롯데    요소수 세 달치 확보 신동빈 회장이 직접 뛰었다,Social
174,뉴욕증시 혼조세 마감  다우 하락  S P    나스닥 상승,Social
175, 인플레 우려 속 혼조  리비안       폭등  뉴욕증시 ,Social
176,인플레  투매 잦아들었나  대 지수 혼조세 뉴욕증시 ,Social
177,미국증시  인플레이션 경계 속 혼조 나스닥       상승,Social
178, 제  테슬라  리비안  상장 첫날 GM 포드 넘어섰다,Social
179, 포드 GM 제친 스타트업  리비안  GE   개 회사로 분리 재택플러스 ,Social
180,씨티은행 노조      여명 희망퇴직 신청 ,Social
181,  억 줄 때 나가자  희망퇴직 신청 폭주에 난감해진 씨티은행,Social
182,일상회복 앞두고 지난달  공연 관람  소비자 상담 큰 폭 증가,Social
183,쌀쌀한 날씨에  전기매트  소비자 불만 급증,Social
184,  지구 살리기 에 공들이는 금융지주 수장들 금융라운지 ,Social
185,윤종규 KB금융 회장  UN 초청으로 기후변화대응 회의 참석,Social
186,요소수 판매  주유소로 한정 당일 판매 재고량 등 매일 신고  종합 ,Social
187,베트남서 차량용 요소수   만 리터 추가 확보,Social
188,내일 유류세     내린다 휘발유  L    원  경유    원 인하,Social
189,오늘부터 유류세     인하 판매가 반영에    주 소요,Social
190,앞으로  년 후 비행기택시 타고 출근한다,Social
191,하늘 나는  공항셔틀  실증 성공      년 수도권 상용화 목표 ,Social
192,이랜드재단  주거 취약계층 지원 위한 MOU,Social
193,이랜드    광군제     억 매출 돌파 올해도 신기록 행진,Social
194,이마트   분기 실적 부진 온 오프라인 시너지 기대 미래,Social
195,이마트   분기 매출    조        영업익은     감소,Social
196, ESG 리포트  제너시스BBQ  청년 창업 지원해 미래 사업가 양성,Social
197, ESG 리포트  마켓컬리 퍼플박스 출시    일  축구장    개 크기 종이박스 줄여,Social
198, ESG 리포트  한샘  익명 게시판 만들고 협력사에 저금리 대출 지원,Social
199, ESG 리포트  전기차 전기바이크로 친환경 배달하는 메쉬코리아  부릉 ,Social
200,화이자 백신 부스터샷   대 여성 사망 정부  인과성 조사  종합 ,Social
201,내일부터 부스터샷도 네이버 카카오 SNS 당일예약,Social
202,코로나   백신 접종완료율            세 접종예약 내일까지 종합 ,Social
203, 부스터샷  내일부터 당일 예약하세요   네이버 카카오 SNS 당일예약 가능,Social
204,진료 소홀로 응급실 환자 영구 장애 유명 대학병원 의사  심서 집행유예,Social
205,응급실 찾은 환자에 적절한 조치 안 한 의사 집행유예,Social
206,진료 소홀로 응급실 환자 영구 장애 의사  심서 집행유예,Social
207, 응급실서 진통제만 사지마비  대학병원 의사  심서  집유 ,Social
208, 수능 D    전국 고교  원격수업  전환   학원 등 특별방역 점검,Social
209,부산 보건소 수능 전날   시까지 운영 수험생 진단검사 강화,Social
210,코로나   발생 이후 두 번째 치러지는 수능 D  ,Social
211,전국 고교  수능 대비  원격 전환 수능 전날 PCR검사 시간 연장,Social
212, 사직안 오늘 처리  곽상도   검찰 소환 초읽기,Social
213, 아들 퇴직금   억  곽상도 의원직 상실 검찰 소환 임박,Social
214, 문재인 저격수  곽상도  아들   억으로 물러서 사직안 가결,Social
215, 아들 퇴직금   억  곽상도 의원직 상실 다음 주쯤 검찰 소환,Social
216, DMZ 평화의 길   개 테마노선 개방,Social
217,DMZ 평화의 길 다시 열린다   일  개 테마노선 개방,Social
218, 가방 잃어버렸다      신고했다가 필로폰 딱 걸린   대,Social
219, 가방 잃어버렸어요  신고한   대 주머니서 마약이  툭 ,Social
220,오토바이 사고  뺑소니 논란  가수 김흥국  심서 벌금형,Social
221,오토바이 들이받고 뺑소니   가수 김흥국 벌금  백만 원,Social
222,중대본  코로나   위중증 환자    명  또 최고치 기록 ,Social
223,권덕철  위중증    명  최고치 기록 고령층 접종효과 약화 중 ,Social
224,   개월 아이  고통 표현도 못한 채 질식사  어린이집 원장 실형 종합 ,Social
225, 낮잠 안잔다고     개월 아기 몸으로 눌러 숨지게 한 원장,Social
226,위중증 최다 당국  의료체계서 감당  정은경  일상회복  단계 지속 방역조치 강화할 수도 ,Social
227,빠르게 동나는 중환자 병상 정부  여유  vs 의료진  비상 ,Social
228,정은경  일상회복  단계 전환 어려울수도   방역조치 강화 가능 ,Social
229,흔들리는 위드 코로나에 정은경  고령층 부스터샷 일정 당기는 것 검토 ,Social
230, 성남시 기획부서  압수수색도 아직   대장동 윗선수사  답보 ,Social
231, 대장동 의혹  김만배 남욱 구속기한 연장   김만배 오늘 재소환,Social
232, 수출입 차는 주고 내수 차는 왜 안줘    요소수 공급 주유소  혼란 ,Social
233,정부  요소수 판매처 주유소 한정  업계는  처음 들었다 ,Social
234,코로나   신규 확진     명 위중증    명 연일 최다 경신,Social
235,코로나   신규     명 위중증    명  또 최다,Social
236,취약계층 집중 지원 닻올린 오세훈의  안심소득 ,Social
237,복지부  오세훈  안심소득  승인 저소득  인가구     만원 지원,Social
238,제주 여성근로자        경력단절   가사부담 직장문화로 균형 어려워 ,Social
239,재직 여성 경력단절 예방도 지원  경력단절여성법 개정안  국회 통과,Social
240, 밀착카메라  터널 화재 땐 대피통로 찾으라는데  어  어디 있지 ,Social
241, 밀착카메라  야호 대신 건배  비틀비틀  아찔한 음주산행,Social
242, 밀착카메라  안전장비 헬멧뿐 삐끗하면  m 아래  쓰레기 늪 으로,Social
243, 밀착카메라  정비구역에 휘갈긴 빨간 글씨  폐가에 사는 기분 ,Social
244,이재명  오월 정신 비뚤어져 있다는 거냐  윤석열 방명록 비판,Culture
245,이재명     반듯이   잘못 쓴 게 아니라면 더 문제 ,Culture
246, 오월정신  반듯이     윤석열 또 방명록 논란  뉴있저 ,Culture
247,홍영표도 썼는데    반듯이  방명록에 이재명측  한글 모르나 ,Culture
248, 의원직 상실  곽상도  아들 성과급 송구  저는 화천대유와 무관 ,Culture
249, 속보   곽상도 사직안  찬성    표로 국회 본회의 가결,Culture
250, 의원직 상실  곽상도  대장동과 무관 결백 증명하겠다 ,Culture
251, 아들   억  곽상도 의원직 상실 검찰 소환 임박,Culture
252,  동아태 차관보  한국 당국자들과 연쇄 회동 공급망 신기술 등 논의,Culture
253,이재명   에  동맹강화   에는  경제협력 심화  G  외교전,Culture
254,  차관보  대선주자에 이어 경제 통상 당국자까지 만나,Culture
255,이재명의 첫 외교 행보는     동급  외교관  동시  접촉     균형감 강조했다 ,Culture
256,      표심  공략 나선 이재명  가상자산 과세  년 유예 당에 요청 중 ,Culture
257,이재명       구애 작전 ,Culture
258,이재명  가상자산 과세 유예해야   정부 차별화 가속페달,Culture
259,     표심 잡아라  이재명  가상자산 과세  년 유예 공제한도 대폭 상향 ,Culture
260,청와대 신임 경제수석에 박원주   특허청장,Culture
261,문 대통령    경제수석에 박원주 전 특허청장 내정,Culture
262, 윤호중  특검 논의 위해 만나자는 김기현  제안도 없고 지방 일정  누가 피하는 건가   최강시사 ,Culture
263,이준석  이재명  조건부 특검 수용은 시간 벌기 ,Culture
264,심상정       반페미니즘 기수 역할 자처   젠더갈등 조장 ,Culture
265, 이대남  끌어안는 이재명 정의당  아재 반페미니즘  맹비난,Culture
266,아내 손 꼭 잡은 이재명 괴소문에 CCTV 공개 반격 나선  측,Culture
267,이재명 부인 김혜경씨     이송 사진 공개   이해식  페밀리스트 이재명 ,Culture
268,이준석 비단주머니     킹크랩 잡는 크라켄  팀 띄운다,Culture
269,이준석이  에 준 비단주머니  댓글조작  킹크랩  잡는  크라켄 이었다,Culture
270, 게임 셧다운제  폐지법  국회 본회의 통과,Culture
271, 이제 어른 됐는데   게임 강제 셧다운제   년만에 폐지,Culture
272,   초보가 음주보다 위험  전과  범의 궤변  이재명 비판,Culture
273,   음주운전보다 초보 위험 에       음주 범죄 사죄해야 ,Culture
274,김종인  내가 흥선대원군   이 어린 고종  나이    넘었는데    ,Culture
275,김종인  흥선대원군    어린 고종    철딱서니 없는 소리 ,Culture
276,윤석열  김대중 노무현 정신 배우겠다    목포에서 김해까지 통합 행보,Culture
277,봉하마을 간    기득권과 싸운 노무현 정신 배우겠다 ,Culture
278,호주산 요소수 김해공항 도착 정부  전국 구급차에 공급 ,Culture
279,요소수  만 천   실은 수송기 호주 출발 오후 국내 도착,Culture
280,김종인    선대위서 허수아비 노릇 안 해  전권 은 별개 사항 ,Culture
281,김종인   선대위서 허수아비 할 순 없다 전권과는 별개 ,Culture
282,정의용  종전선언  한미간 상당히 조율 끝나 쉽진 않을것 같다 ,Culture
283,정의용  한미 종전선언 필요성 인식 같아 다만 쉽진 않을 것 ,Culture
284, 청와대   대통령의 난   ,Culture
285, 청와대    문대통령은 왜 그렇게 북한에 집착합니까 ,Culture
286, 청와대  현직 정무수석  저격 한    비서관 이철희 어떤 표현이,Culture
287, 청와대     비서실장  개월째 유영민  참모들이 보이기 시작했다,Culture
288, 우리 분유만 써달라  산부인과에 저리 대출 해준 남양,Culture
289, 우리 분유만 써  남양유업  산후조리원에 리베이트 주다 적발,Culture
290, 분유 팔려고 리베이트  남양유업 과징금    억 매일유업은     만원,Culture
291,돈 빌려주고  우리 분유 써라  남양유업 과징금    억,Culture
292,롯데정밀화학  요소  만    t 확보    국내 차량용 요소수    개월분 ,Culture
293,롯데정밀화학 가동중단 피했다   차량용 요소수    개월분 확보,Culture
294,롯데  차량용 요소  만 천t 신규 확보 요소수 석달치 물량,Culture
295,롯데    요소수 세 달치 확보 신동빈 회장이 직접 뛰었다,Culture
296,뉴욕증시 혼조세 마감  다우 하락  S P    나스닥 상승,Culture
297, 인플레 우려 속 혼조  리비안       폭등  뉴욕증시 ,Culture
298,인플레  투매 잦아들었나  대 지수 혼조세 뉴욕증시 ,Culture
299,미국증시  인플레이션 경계 속 혼조 나스닥       상승,Culture
300, 제  테슬라  리비안  상장 첫날 GM 포드 넘어섰다,Culture
301, 포드 GM 제친 스타트업  리비안  GE   개 회사로 분리 재택플러스 ,Culture
302,씨티은행 노조      여명 희망퇴직 신청 ,Culture
303,  억 줄 때 나가자  희망퇴직 신청 폭주에 난감해진 씨티은행,Culture
304,일상회복 앞두고 지난달  공연 관람  소비자 상담 큰 폭 증가,Culture
305,쌀쌀한 날씨에  전기매트  소비자 불만 급증,Culture
306,  지구 살리기 에 공들이는 금융지주 수장들 금융라운지 ,Culture
307,윤종규 KB금융 회장  UN 초청으로 기후변화대응 회의 참석,Culture
308,요소수 판매  주유소로 한정 당일 판매 재고량 등 매일 신고  종합 ,Culture
309,베트남서 차량용 요소수   만 리터 추가 확보,Culture
310,내일 유류세     내린다 휘발유  L    원  경유    원 인하,Culture
311,오늘부터 유류세     인하 판매가 반영에    주 소요,Culture
312,앞으로  년 후 비행기택시 타고 출근한다,Culture
313,하늘 나는  공항셔틀  실증 성공      년 수도권 상용화 목표 ,Culture
314,이랜드재단  주거 취약계층 지원 위한 MOU,Culture
315,이랜드    광군제     억 매출 돌파 올해도 신기록 행진,Culture
316,이마트   분기 실적 부진 온 오프라인 시너지 기대 미래,Culture
317,이마트   분기 매출    조        영업익은     감소,Culture
318, ESG 리포트  제너시스BBQ  청년 창업 지원해 미래 사업가 양성,Culture
319, ESG 리포트  마켓컬리 퍼플박스 출시    일  축구장    개 크기 종이박스 줄여,Culture
320, ESG 리포트  한샘  익명 게시판 만들고 협력사에 저금리 대출 지원,Culture
321, ESG 리포트  전기차 전기바이크로 친환경 배달하는 메쉬코리아  부릉 ,Culture
322,화이자 백신 부스터샷   대 여성 사망 정부  인과성 조사  종합 ,Culture
323,내일부터 부스터샷도 네이버 카카오 SNS 당일예약,Culture
324,코로나   백신 접종완료율            세 접종예약 내일까지 종합 ,Culture
325, 부스터샷  내일부터 당일 예약하세요   네이버 카카오 SNS 당일예약 가능,Culture
326,진료 소홀로 응급실 환자 영구 장애 유명 대학병원 의사  심서 집행유예,Culture
327,응급실 찾은 환자에 적절한 조치 안 한 의사 집행유예,Culture
328,진료 소홀로 응급실 환자 영구 장애 의사  심서 집행유예,Culture
329, 응급실서 진통제만 사지마비  대학병원 의사  심서  집유 ,Culture
330, 수능 D    전국 고교  원격수업  전환   학원 등 특별방역 점검,Culture
331,부산 보건소 수능 전날   시까지 운영 수험생 진단검사 강화,Culture
332,코로나   발생 이후 두 번째 치러지는 수능 D  ,Culture
333,전국 고교  수능 대비  원격 전환 수능 전날 PCR검사 시간 연장,Culture
334, 사직안 오늘 처리  곽상도   검찰 소환 초읽기,Culture
335, 아들 퇴직금   억  곽상도 의원직 상실 검찰 소환 임박,Culture
336, 문재인 저격수  곽상도  아들   억으로 물러서 사직안 가결,Culture
337, 아들 퇴직금   억  곽상도 의원직 상실 다음 주쯤 검찰 소환,Culture
338, DMZ 평화의 길   개 테마노선 개방,Culture
339,DMZ 평화의 길 다시 열린다   일  개 테마노선 개방,Culture
340, 가방 잃어버렸다      신고했다가 필로폰 딱 걸린   대,Culture
341, 가방 잃어버렸어요  신고한   대 주머니서 마약이  툭 ,Culture
342,오토바이 사고  뺑소니 논란  가수 김흥국  심서 벌금형,Culture
343,오토바이 들이받고 뺑소니   가수 김흥국 벌금  백만 원,Culture
344,중대본  코로나   위중증 환자    명  또 최고치 기록 ,Culture
345,권덕철  위중증    명  최고치 기록 고령층 접종효과 약화 중 ,Culture
346,   개월 아이  고통 표현도 못한 채 질식사  어린이집 원장 실형 종합 ,Culture
347, 낮잠 안잔다고     개월 아기 몸으로 눌러 숨지게 한 원장,Culture
348,위중증 최다 당국  의료체계서 감당  정은경  일상회복  단계 지속 방역조치 강화할 수도 ,Culture
349,빠르게 동나는 중환자 병상 정부  여유  vs 의료진  비상 ,Culture
350,정은경  일상회복  단계 전환 어려울수도   방역조치 강화 가능 ,Culture
351,흔들리는 위드 코로나에 정은경  고령층 부스터샷 일정 당기는 것 검토 ,Culture
352, 성남시 기획부서  압수수색도 아직   대장동 윗선수사  답보 ,Culture
353, 대장동 의혹  김만배 남욱 구속기한 연장   김만배 오늘 재소환,Culture
354, 수출입 차는 주고 내수 차는 왜 안줘    요소수 공급 주유소  혼란 ,Culture
355,정부  요소수 판매처 주유소 한정  업계는  처음 들었다 ,Culture
356,코로나   신규 확진     명 위중증    명 연일 최다 경신,Culture
357,코로나   신규     명 위중증    명  또 최다,Culture
358,취약계층 집중 지원 닻올린 오세훈의  안심소득 ,Culture
359,복지부  오세훈  안심소득  승인 저소득  인가구     만원 지원,Culture
360,제주 여성근로자        경력단절   가사부담 직장문화로 균형 어려워 ,Culture
361,재직 여성 경력단절 예방도 지원  경력단절여성법 개정안  국회 통과,Culture
362, 밀착카메라  터널 화재 땐 대피통로 찾으라는데  어  어디 있지 ,Culture
363, 밀착카메라  야호 대신 건배  비틀비틀  아찔한 음주산행,Culture
