,Ingredient,Category,predict,OX
55,청주 파채 식용유 청주 크다 쥐똥 고추 다지다 작다 천연 조미료 육수 멸치 육수 크다,Chinese,Chinese,O
56,굴 홍합 가리비 또는 조개류 적당 량 배추 버섯 양파 대파 식용유 크다 고춧가루 크다 굴 소스 크다 국 간장 크다 소금 톡톡 다지다 크다 후추 톡톡 다시 육수,Chinese,Chinese,O
57,건 목이버섯 대파 대다 파프리카 다지다 간장 식용유,Chinese,Chinese,O
58,밥 계란 대파 적당 량 당근 생략 가능,Chinese,Japanese,X
59,중국 당면 새우 햄 양파,Chinese,Chinese,O
60,팽이버섯 마르다 고추 대파 다지다 다지다 파 간장 기름 참기름 소금,Chinese,Chinese,O
61,물 굴소스 설탕 진 간장 전분 팽이버섯 그램 송이버섯 표고버섯 느타리버섯,Chinese,Chinese,O
62,밥 대파 푸른 부분 계란 냉동 새우 적당하다,Chinese,Japanese,X
63,중국 당면 대파 대다 양파 오징어 바지락 새우 다지다 식용유 적당 량 고추기름 사천 고추 청경채,Chinese,Chinese,O
64,고추기름 다지다 돼지고기 다지다 파 다지다 당근 다지다 당근 진 간장 생수 굴소스 치킨 스톡 설탕 두 반장,Chinese,Chinese,O
65,파스타 면 쇠고기 다짐 육 양파 다지다 맛술 치킨 스탁 굴소스 간장 참기름 후춧가루 냉동 완두콩 녹말 물 소금 식용유,Chinese,Chinese,O
66,파 계란 간장 참기름 후추 톡톡 밥 소금,Chinese,Chinese,O
67,오이 고추 소금 꼬집다 다지다 꼬집다 설탕 작다 식초,Chinese,Chinese,O
68,토마토 계란 물 다지다 파 식물성 오일 참기름,Chinese,Chinese,O
69,가지 대파 두 반장 간장 식초 설탕 청양고추 다지다 물,Chinese,Chinese,O
70,계란 밥 굴소스 대파 당근 짜장 가루 소금 후추 물 적당 량,Chinese,Chinese,O
71,양파 채 당근 채 배추 채 오징어채 그램 홍합 그램 청경채 그램 다시다 크다 후추 가루 작다 고추 가루 그램,Chinese,Chinese,O
72,계란 파 당근 찬밥,Chinese,Chinese,O
73,가지 다지다 돼지고기 대파 청양고추 다지다 다지다 간장 물 식용유,Chinese,Chinese,O
74,해물 믹스 청경채 새 송이버섯 표고버섯 피망 대파 대다 맵다 고추 기름 맵다 굴소스 크다 간장 크다 소금 후추 참기름 녹말 크다,Chinese,Chinese,O
75,닭 감자 양파 당근 파 청양고추 참기름,Chinese,Chinese,O
76,멸치 다시 마물 계란 팽이버섯 다지다 파 녹말 물,Chinese,Chinese,O
77,돼지고기 다짐 육 양파 대파 계란 녹말가루 크다 청경채 식용유 녹말 물,Chinese,Chinese,O
78,게맛살 양파 표고버섯 양송이버섯 당근 대파 달걀 참기름,Chinese,Chinese,O
79,돼지고기 채 그램 해삼 채 그램 팽이버섯 새우 표고버섯 채 그램 죽순 채 그램 은행 참기름 물 전분 크다 다지다 크다,Chinese,Chinese,O
80,가지 돼지고기 갈다 것 대파 다지다 크다 다지다 크다,Chinese,Japanese,X
81,강력 분 드라이 이스트 작다 설탕 작다 소금 포도 씨유 크다 미지근하다 물 검정 깨,Chinese,Western,X
82,양파 대파 청양고추 당근 손가락 마디 배추 국 돼지고기 잡 팽이버섯 물,Chinese,Chinese,O
83,양파 삼겹살 대파 김치 청양고추 고춧가루 크다 후추 설탕,Chinese,Korean,X
84,돼지고기 부추 양파 대파 다지다 통깨 굴소스 맛술,Chinese,Chinese,O
85,달걀 토마토 희다 대파 굴소스 설탕 소금 후추 현미 유,Chinese,Chinese,O
86,닭 안심 살 다지다 크다 편 편 다지다 대파 크다 식용유 크다 자다 써다 피망 자다 써다 피망 자다 써다 양파,Chinese,Chinese,O
87,파프리카 빨강 파프리카 노랑 양파 청양고추 전분 물 카 놀라다 유,Chinese,Chinese,O
88,신라면 물 달걀 숙성 되다 토마토 토마토 페이스 트 대파 쪽파 식용유,Chinese,Japanese,X
89,가지 돼지고기 다짐 육 대파 고추 고추 굴 소스 크다 참기름 작다 고추기름 크다 후추 꼬집다 식용유 크다,Chinese,Chinese,O
90,당근 애호박 파 양파 청양고추 바지락 오징어 양배추,Chinese,Korean,X
91,떡 중국 당면 먹다 삶다 깨 어묵 고춧가루 간장 후추 물,Chinese,Chinese,O
92,계란 대파 당근 완두콩 참기름,Chinese,Chinese,O
93,중국 당면 베이컨 양파 피자치즈 파슬리 우유 식용유,Chinese,Chinese,O
94,청경채 표고버섯 대파 대다 잡 돼지고기 새우 볶다 참깨 소금 후춧가루,Chinese,Chinese,O
95,가지 대파 희다 부분 양파 양송이버섯 피망 빨갛다 파프리카 노랗다 파프리카 고추기름 크다 다지다 크다 가루 간장 크다 고춧가루 크다 맛술 크다 굴소스 크다 물,Chinese,Chinese,O
96,찬 밥 당근 대파 달걀,Chinese,Chinese,O
97,공기밥 계란 대파 식용유 크다,Chinese,Chinese,O
98,달걀 표고버섯 새 송이버섯 대파 목이버섯 당근 양파,Chinese,Japanese,X
99,밥 잡채 부추 계란 물 전분 참기름,Chinese,Chinese,O
100,닭 가슴 살 대파 물 식용유,Chinese,Chinese,O
101,밥 분 짜장 계란 파프리카 쪽파 소금 꼬집다 후추 톡톡,Chinese,Chinese,O
102,양파 양배추 돼지고기 오이 파 파스타 면,Chinese,Japanese,X
103,우동 사리 화면 이 좋다 밥 돼지고기 양파 호박 양배추 새우 선택 계란 선택 물 크다,Chinese,Chinese,O
104,식용유 간장 설탕 소금 물 전분 간장,Chinese,Japanese,X
105,중국 당면 베이컨 떡국 떡,Chinese,Chinese,O
106,삼겹살 대파 대다 양파 통후추 월계수,Chinese,Korean,X
107,표고버섯 양파 청양고추,Chinese,Japanese,X
108,호박 당근 감자 크다 돼지고기 춘장 물 후추 전분 가루 물,Chinese,Chinese,O
109,후추 톡톡 소금 톡톡 식용유 냉동 새우,Chinese,Chinese,O
110,삼겹살 청경채 물 고추 밥 통깨,Chinese,Chinese,O
111,가지 돼지고기 갈다 것 크다 된장 크다 춘장 또는 인스턴트 짜장 가루 적당 량 대파 적당 량 다지다 크다 즙 또는 가루 적당 량 청양고추,Chinese,Chinese,O
112,식빵 칵테일 새우 달걀 흰자 분 전분,Chinese,Chinese,O
113,돼지고기 잡 피망 노랑 파프리카 후춧가루 간장 고추기름 청주,Chinese,Chinese,O
114,식다 밥 햄 당근 대파 양파 강낭콩 칵테일 새우 달걀,Chinese,Japanese,X
115,채 써다 양파 다지다 새우 브로콜리 올리브유 파슬리 가루 소금 후추 송송 써다 쪽파,Chinese,Western,X
116,오이 설탕 식초 두 반장 크다 고추기름 크다 건 고추 소금,Chinese,Chinese,O
117,바지락 중국 간장 크다 다지다 크다 파프리카 양파 청양고추 써다 파 크다 고 춧 기름 크다 후추 꼬집다,Chinese,Chinese,O
118,오징어 몸통 냉동 새우 홍합 편 썰다 올리브유 양파 피망 파프리카 표고버섯 청경채 당근,Chinese,Chinese,O
119,가지 대파 돼지고기 적당 량 후추 굴소스 하다 두 반장 간장 설탕 식초 녹말 물 전분 가루 따뜻하다 물 고추 칠리 오일 올리브오일,Chinese,Chinese,O
120,돼지고기 양파 표고버섯 죽순 불리다 해삼 새우 팽이버섯 대파 대다 굴소스 간장 청주 설탕 소금 후추 치킨 육수 식용유 적당 량,Chinese,Chinese,O
121,불리다 중국 당면 대패 삼겹살 건 고추 양파 당근 대파 대다 청경채 다시마 육수 식용유,Chinese,Chinese,O
122,방울토마토 설탕 올리고당 올리고당,Chinese,Japanese,X
123,돼지고기 삼겹살 양파 양배추 당근 파프리카 빨강 노랑 대파,Chinese,Chinese,O
124,진 간장 굴소스 설탕 물 전분 가루,Chinese,Chinese,O
125,식빵 믹스 이스트 따뜻하다 물 식용유 작다 흑설탕 크다 통깨 크다 계피 가루 작다,Chinese,Chinese,O
126,고 춧 기름 크다 국 간장 크다 다지다 크다 설탕 매 실액 크다,Chinese,Chinese,O
127,당근 대파 대다 달걀 냉동 새우 찬밥,Chinese,Chinese,O
128,대파 햄 계란 찬밥 버섯 파프리카,Chinese,Chinese,O
129,식다 밥 달걀 다지다 당근 소주 적 새우,Chinese,Japanese,X
130,춘장 돼지고기 양파 호박 양배추 고구마 완두콩 대파 당근 새 송이버섯,Chinese,Chinese,O
131,오이 다지다 간장 식초 소금 참기름,Chinese,Chinese,O
132,춘장 양파 양배추 돼지고기 또는 모듬 해물 버섯 적당 량 식용유 크다 전분 크다 물 칼국수 적당 량,Chinese,Chinese,O
133,물 양파 대파 배추 당근 목이버섯 다지다 굴 모시조개 오징어 풋 고추 청경채 식용유,Chinese,Chinese,O
134,새우 파 당근 부추 계란 식용유 밥,Chinese,Chinese,O
135,밥 송송 써다 파 다지다 당근 소주 달걀 소금 후추,Chinese,Chinese,O
136,짜장 가루 돼지 목살 양파 양배추 당근 감자 크다 사이즈 다지다 크다 식용유 맛술 크다,Chinese,Chinese,O
137,물 감자 전분 크다 식용유 크다 후추 톡톡,Chinese,Chinese,O
138,자숙 문어 냉동 새우 해삼 양파 양송이버섯 당근 파프리카 배춧잎 돼지 호박 참기름 바퀴,Chinese,Chinese,O
139,도미 식용유 파채 두 반장 크다 설탕 크다 천연 조미료 해물 육수 소주 크다,Chinese,Chinese,O
140,피망 꽈리 고추 파프리카 돼지고기 다지다 크다 느타리버섯 후추 굴소스 간장 크다 굴소스,Chinese,Chinese,O
141,식초 설탕 두 반장 크다 고추기름 크다 고추 크다 천일염 크다 오이 소금,Chinese,Chinese,O
142,대파 피망 피망 양파 당근 다지다,Chinese,Chinese,O
143,다지다 돼지고기 송송 써다 대파 굵다 다지다 양파 납작 써다 양배추 납작 써다 주 키 니 호박 다지다 크다,Chinese,Chinese,O
144,오징어 새우 게살 맛살 또는 크다 레미 밥 달걀 양송이버섯 양파 피망 당근 대파 희다 부분 굴소스 크다 맛술 크다 간장 크다 고추기름 크다 다지다 크다,Chinese,Chinese,O
145,식용유 채 써다 파 간 고춧가루 계란 짜파게티,Chinese,Chinese,O
146,즉석밥 달걀 당근 대파 대다 간장 소금 후춧가루 참기름 식용유 깨소금 추가,Chinese,Korean,X
147,소고기 다짐 육 간 돼지고기 두피 참기름 식용유 물 부추 간장 후추,Chinese,Chinese,O
148,표고버섯 새우 살 청경채 오징어 돼지고기 대파 나 쪽파 소금 후추 청주 즙 녹말가루,Chinese,Chinese,O
149,새우 오징어 양파 다지다 파 다지다 크다 숙주,Chinese,Japanese,X
150,대파 달걀 밥 올리브유 적당 량,Chinese,Japanese,X
151,부치다 두부 돼지고기 대파,Chinese,Japanese,X
152,양파 대파 청양고추 당근 청경채 팽이버섯 새 송이버섯 새우 오징어 홍합 계란,Chinese,Chinese,O
153,오징어 홍합 살 새우 살 바지락 양파 호박 버섯 당근 청양고추 대파 달걀 물 우동 사리,Chinese,Chinese,O
154,달걀 새 송이버섯 맛살 작다 사이즈 당근 대파 스팸 진 간장 굴소스 소금 물 후춧가루 참기름 전분 물,Chinese,Chinese,O
155,가지 송송 써다 대파 다지다 다지다 고추 다지다 고추 다지다 양파 다지다 돼지고기 물 크다 후춧가루,Chinese,Chinese,O
156,해삼 죽순 고추 고추 대파 희다 대다 청경채 양파 새우 살 생략 가능,Chinese,Chinese,O
157,돼지고기 등심 계란 당근 오이 양파 전분 가루 소금 꼬집다 후추,Chinese,Chinese,O
158,공기밥 가지 돼지고기 등심 잡 양파 고추 고추 다지다 크다 참기름 다시마 육수 또는 물,Chinese,Chinese,O
159,밥 달걀 대파 당근,Chinese,Japanese,X
160,돼지고기 다짐 육 대파 가지 밀가루 계란 물 적당 양 굵다 소금 후추 다시다 미원 꼬집다,Chinese,Chinese,O
161,오징어 돼지고기 새우 원하다 양 홍합 원하다 양 자다 써다 파 다지다 크다 채 써다 양파 채 써다 호박 채 써다 당근 맵다 고추 원하다 양 부추 원하다 양 멸치 다시마 육수 또는 물 원하다 양 다지다 선택 크다,Chinese,Chinese,O
162,당근 애호박 양파 고구마 불고기 대파 손가락,Chinese,Chinese,O
163,돼지고기 양파 양배추 감자 전분 가루,Chinese,Japanese,X
164,다지다 돼지고기 두부 김치 숙주 호박 다지다 다지다 다지다 파 소금 후추 꿀 맛술 두피,Chinese,Chinese,O
165,카레 돼지고기 오이 양파 주 키 니 양배추 오징어 고 춧 기름 크다 써다 파 크다 다지다 크다 다지다 작다 중국 간장 크다 굴소스 크다 짜장 가루 후추 작다 참기름 크다 치킨 스톡 작다 물 달걀후라이,Chinese,Chinese,O
166,짜장라면 베이컨 양파 오이 달걀 맵다 고추 다지다 물 설탕 깨,Chinese,Korean,X
167,새우 적당 량 다지다 파 적당 량 표고버섯 계란 치킨 스톡 참치 액젓 크다 전분 가루 크다 다지다 크다,Chinese,Japanese,X
168,닭 가슴 살 오이 당근 볶음 땅콩 파 두 반장 파 편 편 두 반장,Chinese,Chinese,O
169,양파 대파 고춧가루 설탕 굴소스 고추기름 참기름 식초,Chinese,Chinese,O
170,배추 다지다 돼지고기 양파 대파 고추 고추 다지다 두 반장 굴소스 매실 맛술 참기름 식용유 후추 통깨 또는 실고추,Chinese,Chinese,O
171,가지 간 돼지고기 다지다 대파 부추 간 소금 튀김 가루 소주 참기름 소주 후추 톡톡 식용유 넉넉하다,Chinese,Chinese,O
172,표고버섯 양파 목이버섯 계란 게맛살 치킨 육수 간장 크다 굴소스 크다 녹말 물 적당 량 소금 후추,Chinese,Chinese,O
173,라면 양파 파 대다 다지다 베이컨 새 송이버섯,Chinese,Korean,X
174,양송이버섯 양파 대파 전분 물 후추 꼬집다 간장,Chinese,Chinese,O
175,다지다 새우 다지다 양파 다지다 파프리카 다지다 양배추 맛소금 굴소스 계란 식용유 넉넉하다 밥 후추 가루,Chinese,Chinese,O
176,칵테일 새우 오이 당근 크다 래미 달걀 식용유,Chinese,Chinese,O
177,오이 고추 양파 오이 소금 굵다 소금 밥,Chinese,Chinese,O
178,차다 돔 대파 대다 식용유 적당 량 간장 크다 맛술 크다 물 크다 설탕 크다 다지다 크다,Chinese,Chinese,O
179,두부 청경채 다지다 크다 페퍼 론 치노 쪽파 대다 고추기름 크다 굴소스 크다 간장 크다 올리고당 크다 후추 톡톡 전분 크다 물 크다,Chinese,Chinese,O
180,오이 레몬 식초 또는 식초 매실 소금 꼬집다,Chinese,Chinese,O
181,오이 설탕 크다 식초 크다 다지다 파 크다 통깨 적당 량,Chinese,Chinese,O
182,돼지고기 잡 우동 사리 고추기름 양파 애호박 버섯 숙주 대파 대다,Chinese,Chinese,O
183,돼지고기 다짐 육 양파 대파 크다 물 감자전 분 크다,Chinese,Chinese,O
184,연 두부 달걀 피망 피망 대파 대다 맵다 고추 고춧가루,Chinese,Chinese,O
185,새우 식빵 튀김 유 굴소스 크다 맛술 크다 간 크다 소금 후춧가루 파슬리,Chinese,Chinese,O
186,다지다 돼지고기 국수 면 옥수수 면 양파 피망 피망 대파 다지다 식용유 참기름 베트남 고추 소금 후추,Chinese,Chinese,O
187,가지 돼지고기 다짐 육 돈민찌 피망 피망 양파 스위트콘 베트남 건 고추,Chinese,Chinese,O
188,냉동 새우 냉동 파인애플 계란 냉동 두다 채소 소금 작다 후추 작다 써다 파 크다 식용유 크다,Chinese,Chinese,O
189,냉동 쭈꾸미 냉동 두다 해물 써다 파 크다 소곡주 크다 조미료 매콤 톡톡 크다 치킨 스톡 크다 육수 계란 전분 물 농도 맞다 참기름 크다,Chinese,Chinese,O
190,대파 계란 밥 간장 식용유 맛소금 크다,Chinese,Chinese,O
191,닭다리 살 대파 대다 피망 피망 청양고추 베트남 고추 튀김 기름 고추기름,Chinese,Chinese,O
192,두부 배추 브로콜리 새 송이버섯 풋 고추 돼지고기 뒷다리 살 후춧가루 톡톡 전분 물 참기름,Chinese,Chinese,O
193,치킨 텐더 양파 샐러드 야채 매실 식초 레몬 즙 참기름 간 통깨 대파 청량고추 고추,Chinese,Chinese,O
194,식빵 통깨 적당 량 스위트 칠리소스 적당 량 간장 작다 참기름 작다,Chinese,Chinese,O
195,버터 대추 아몬드 분유 분유,Chinese,Korean,X
196,당면 파 잡 돼지고기 후추 양파 당근 피망 목이버섯 깨,Chinese,Chinese,O
197,고춧가루 식용유 소금 깨 팔각 계피 통후추 파 양파,Chinese,Chinese,O
198,칵테일 새우 밉다 계란 양파 대파 당근 고추 가루 크다 물,Chinese,Chinese,O
199,밥 대파 달걀 식용유 진 간장 크다 맛소금,Chinese,Chinese,O
200,삶다 돼지 등뼈 알밤 마르다 고추 깔다 은행 건 표고버섯 청양고추 넙적 당면 참기름 크다,Chinese,Chinese,O
201,생 땅콩 팔각 물 진 간장 크다 꽃 소금 크다 대파 희다 대다,Chinese,Chinese,O
202,오이 소금 레몬 즙 고추기름 식초 다지다 다지다 청량고추 다지다 고추,Chinese,Chinese,O
203,돼지 등 갈비 양파 파 대다 간장 미림 식초 설탕 팔각 물,Chinese,Korean,X
204,땅콩 설탕 소금,Chinese,Chinese,O
205,굴 배추 대하 새우 양파 대파 청경채 고추,Chinese,Chinese,O
206,생 땅콩 식용유 크다 꽃 소금 크다 설탕 크다,Chinese,Chinese,O
207,밀가루 그램 식용유 그랭 대파,Chinese,Chinese,O
208,배춧잎 대파 대다 표고버섯 페페 론 치노 고추기름 다지다,Chinese,Korean,X
209,돈 등심 감자전 분 반 달걀 물 물 맛소금 톡톡 톡 후춧가루 톡톡 톡 대파 송송 송 당근 송송 송 레몬 적당 량 전분 가루,Chinese,Chinese,O
210,고등어 중간 쌀뜨물 물 양파 작다 대파 다지다 매 실액 기,Chinese,Korean,X
211,숙주나물 청경채 연근 대패 삼겹살,Chinese,Chinese,O
212,가지 돼지고기 소금 청경채 식용유 넉넉하다 풋 고추 밀가루,Chinese,Chinese,O
213,대파 다지다 굴소스 고춧가루 간장 소주,Chinese,Chinese,O
214,계란 양파 아주 대파 버섯 아주 당근 아주 달다 멸치,Chinese,Chinese,O
215,배기 배추 노란색 파프리카 빨간색 파프리카 청양고추 다지다 크다 진 간장 크다 설탕 크다 굴소스 크다 물 식초 고추기름 크다,Chinese,Chinese,O
216,국수 숙주 송송 써다 파 참기름 크다 식용유 크다 간장 크다 설탕 작다 식초 작다,Chinese,Chinese,O
217,두부 고춧가루 대파 대다 다지다 다지다 굴소스 간장 물 후추 감자전 분 식용유 적당 량,Chinese,Chinese,O
218,돼지고기 그램 청경채 피망 죽순 편 그램 표고버섯 편 그램 양송이 편 그램 청양고추 계란 설탕 크다 미원 작다 후추 가루 참기름,Chinese,Chinese,O
219,양파 두부 애호박 대파 희다 부분 당근 다지다 크다 다지다 고추기름 크다 후추 전분 물 치킨 스톡 크다,Chinese,Chinese,O
220,밥 계란 대파 종 버터 식용유 후추 적당 량 굴소스 통깨,Chinese,Japanese,X
221,자숙 새우 튀김 가루 물 설탕 크다 크다 식초 크다 양상추 레몬 슬 라이스 튀기다 기름,Chinese,Chinese,O
222,,Chinese,Western,X
223,오이 양파 다지다 진 간장 식초 소금 설탕 참기름 깨,Chinese,Korean,X
224,가지 대파 양파 고추 고추 간 전분 후추 꼬집다 소금 꼬집다,Chinese,Chinese,O
225,크다 레미 계란 전분 가루 느타리버섯 새 송이버섯 머쉬 마루 버섯 대파 양파,Chinese,Chinese,O
226,새우 튀김 가루 국 식초,Chinese,Chinese,O
227,당면 어묵 시금치 당근 콩나물 달걀 맛술 크다 참기름 통깨,Chinese,Korean,X
228,계란 당근 채 그램 이채 그램 삶다 새우 그램 해파리 그램 삶다 해삼 채 그램 삶다 오징어채 그램 양상추 그램,Chinese,Chinese,O
229,양배추 양파 청경채 애호박 크다 채 크다 쪽파 대파 청양고추 당면 오징어,Chinese,Chinese,O
230,오이 양파 굵다 소금 멸치액젓,Chinese,Korean,X
231,밀가루 적당 량 부치다 가루 밀가루 참기름 파 식용유 크다 물 적당 량 소금 꼬집다,Chinese,Japanese,X
232,가지 소 돼지고기 다짐 육 채 크다 녹말 물 크다 청양고추 파프리카 대파 대다 맛술 후추,Chinese,Chinese,O
233,양파 청경채 그램 오징어 그램 홍합 그램 마르다 고추 청양고추 대파 당근 배추,Chinese,Chinese,O
234,호박 양파 감자 대파 새우,Chinese,Chinese,O
235,오이 소금 크다 고추 식초 크다 참기름 크다,Chinese,Chinese,O
236,돼지고기 파프리카 당근 양파 파인애플 달걀 전분 가루,Chinese,Chinese,O
237,양파 대파 미원 그램 식초 그램 다시다 그램,Chinese,Chinese,O
238,닭 날개 청경채 콜라 간장 굴소스,Chinese,Japanese,X
239,파 달걀 기름 넉넉하다 간장 굴소스,Chinese,Chinese,O
240,가지 꽈리 고추 다지다 돼지고기 풋 고추 오일,Chinese,Japanese,X
241,짜장 가루 감자 돼지고기 간장 크다 양파 양배추 뜨겁다 물 설탕 주걱 굴소스 주걱 전분 물 적당하다,Chinese,Chinese,O
242,마트 팔다 사골 국물 물 오징어 깨다 새우 채 써다 양파 호박 당근 양배추 땡초,Chinese,Korean,X
243,밥 대파 계란,Chinese,Japanese,X
244,파 양파 계란 밥,Chinese,Japanese,X
245,소고기 배추 청경채 깻잎 섬초 숙주나물 팽이버섯 물,Chinese,Korean,X
246,달걀 크다 래미 대파 대다 양파 팽이버섯 멸치 다시마 육수 후춧가루 적당하다,Chinese,Korean,X
247,볶음 땅콩 소금 크다 식용유 크다,Chinese,Chinese,O
248,다지다 방울토마토 다지다 양파 다지다 새다 리 다지다 오이 물,Chinese,Japanese,X
249,프라임 비엔나 소시지 느타리버섯 청량고추,Chinese,Chinese,O
250,다지다 방울토마토 다지다 양파 다지다 새다 리 다지다 오이 물,Chinese,Japanese,X
251,발효 흑 식초 설탕 굴소스 감자전 분 마르다 고추 볶다 깨 스파게티 면,Chinese,Chinese,O
252,마 꿀,Chinese,Japanese,X
